"Name","Address","City","Cuisine","PriceRange","Rating","ReviewCount","Phone","Source","Region"
"Cecconi's Miami Beach","4385 Collins Ave (Soho Beach House)","Miami Beach, FL 33140","Italian","$$$","3.9/5 Google","740","N/A","Miami and Beaches","Miami Beach"
"Pao by Paul Qui","3201 Collins Ave (Faena Hotel)","Miami Beach, FL 33140","Modern Asian","$$$$","4.3/5 Google","361","N/A","Miami and Beaches","Miami Beach"
"Los Fuegos by Francis Mallmann","3201 Collins Ave (Faena Hotel)","Miami Beach, FL 33140","Argentine/Grill","$$$$","4.3/5 Google","1098","N/A","Web search","Miami Beach"
"Mirabella","Fontainebleau","Miami Beach, FL 33140","Coastal Italian","$$$$","N/A","N/A","N/A","Web search","Miami Beach"
"Mi Colombia","702 71st St","Miami Beach, FL 33141","Colombian","$$","4.6/5 Google","495","N/A","The Infatuation","Miami Beach"
"Marc's Artisanal Pizzeria","966 Normandy Dr","Miami Beach, FL 33141","Pizza","$$","8.5/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"Silverlake Bistro","1211 71st St","Miami Beach, FL 33141","American/French","$$","8.3/10 Infatuation / 4.6 Google","N/A","N/A","The Infatuation/Wanderlog","Miami Beach"
"Ezio's","580 72nd St","Miami Beach, FL 33141","Steaks","$$$","7.6/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"Locura Marina Peruvian Restaurant","7118 Collins Ave","Miami Beach, FL 33141","Peruvian","$$","8.3/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"The Wrapper","6974 Collins Ave","Miami Beach, FL 33141","Lebanese","$$","5.0/5 Google","482","N/A","The Infatuation","Miami Beach"
"Sushi Bichi","7330 Ocean Terr","Miami Beach, FL 33141","Sushi","$$","4.8/5 Google","532","N/A","The Infatuation","Miami Beach"
"Katana","920 71st St","Miami Beach, FL 33141","Japanese","$$","7.6/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"Banchero Miami","6995 Collins Ave","Miami Beach, FL 33141","Argentinian","$$","4.5/5 Google","502","N/A","The Infatuation","Miami Beach"
"7tyone Restaurant & Coffee","1130 Normandy Dr","Miami Beach, FL 33141","Venezuelan","$$","7.9/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"Blozzom Pizza","7341 Collins Ave","Miami Beach, FL 33141","Pizza","$$","7.7/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"Collins Pizza","7308 Collins Ave","Miami Beach, FL 33141","Pizza","$$","4.5/5 Google","262","N/A","The Infatuation","Miami Beach"
"Little Brazil","6984 Collins Ave","Miami Beach, FL 33141","Brazilian","$$","7.9/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"Cafe Prima Pasta","414 71st St","Miami Beach, FL 33141","Italian","$$$","4.9/5 Google","942","N/A","The Infatuation","Miami Beach"
"Sawaddee Thai & Sushi Restaurant","6968 Bay Dr","Miami Beach, FL 33141","Thai/Sushi","$$","7.7/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"Sazon Cubano","7305 Collins Ave","Miami Beach, FL 33141","Cuban","$$","4.5/5 Google","4675","N/A","The Infatuation","Miami Beach"
"Rouge","7310 Collins Ave","Miami Beach, FL 33141","French-Moroccan","$$$","N/A","N/A","N/A","Web search","Miami Beach"
"Las Vacas Gordas","933 Normandy Dr","Miami Beach, FL 33141","Steakhouse/Argentine","$$$","N/A","N/A","N/A","Web search","Miami Beach"
"Taquiza Tacos","7450 Ocean Terr","Miami Beach, FL 33141","Mexican","$$","4.3 Google / 4.5 TA","N/A","N/A","Wanderlog","Miami Beach"
"Norman's Tavern","6770 Collins Ave","Miami Beach, FL 33141","American/Sports Bar","$$","4.6 Google / 4.5 TA","N/A","N/A","Wanderlog","Miami Beach"
"Hoshi & Sushi Asian Cuisine","5401 Collins Ave Ste CU5","Miami Beach, FL 33140","Japanese/Asian","$$","4.6 Google / 4.5 TA","N/A","N/A","Wanderlog","Miami Beach"
"The Surf Club Restaurant","9011 Collins Ave (Four Seasons)","Surfside, FL 33154","Continental/Fine Dining","$$$$","4.6/5 Google","N/A","N/A","Wanderlog/dishmiami (Michelin star)","Surfside"
"Lido Restaurant","9011 Collins Ave (Four Seasons Surf Club)","Surfside, FL 33154","Coastal Italian","$$$$","4.1/5 Google","416","N/A","dishmiami","Surfside"
"Winston's On The Beach","Four Seasons Surf Club","Surfside, FL 33154","Casual Seafood","$$$","N/A","N/A","N/A","Miami and Beaches","Surfside"
"Cafe Ragazzi","Surfside","Surfside, FL 33154","Italian-American","$$","4.2/5 Google","328","N/A","Miami and Beaches","Surfside"
"Neya","9491 Harding Ave","Surfside, FL 33154","Modern Israeli","$$","4.9/5 Google","N/A","N/A","Wanderlog","Surfside"
"Flanigan's (Surfside)","Surfside","Surfside, FL 33154","Steaks/Seafood","$$","4.3/5 Google","612","N/A","Miami and Beaches","Surfside"
"Fialkoff's Kosher Pizza","Surfside","Surfside, FL 33154","Kosher Pizza","$$","3.8/5 Google","116","N/A","Miami and Beaches","Surfside"
"Hikari","Surfside","Surfside, FL 33154","Sushi/Kosher","$$$","4.3/5 Google","96","N/A","Miami and Beaches","Surfside"
"Cine Citta Caffe","9544 Harding Ave","Surfside, FL 33154","Italian/Kosher Dairy","$$","3.7/5 Google","N/A","N/A","Wanderlog","Surfside"
"Carpaccio","9700 Collins Ave","Bal Harbour, FL 33154","Italian","$$-$$$","4.3/5 TA / 4.4 Google","2,711+ TA","(305) 867-7777","Tripadvisor/dishmiami","Bal Harbour"
"Makoto","9700 Collins Ave","Bal Harbour, FL 33154","Japanese/Sushi","$$$$","4.4/5 TA / 4.5 Google","1,132+ TA","N/A","Tripadvisor/dishmiami","Bal Harbour"
"Artisan Beach House","10295 Collins Ave (Ritz-Carlton)","Bal Harbour, FL 33154","Seafood/Global","$$-$$$","3.9/5 TA / 4.4 Google","67+ TA","N/A","Tripadvisor/dishmiami","Bal Harbour"
"The Terrace Restaurant","Bal Harbour Shops","Bal Harbour, FL 33154","Italian/American","$$-$$$","4.8/5 TA","81+ TA","N/A","Tripadvisor","Bal Harbour"
"Le Zoo","Bal Harbour Shops","Bal Harbour, FL 33154","French","$$-$$$","4.1/5 TA","435+ TA","N/A","Tripadvisor","Bal Harbour"
"Aba Miami (Bal Harbour)","Bal Harbour Shops","Bal Harbour, FL 33154","Mediterranean","$$$$","4.0/5 TA","34+ TA","N/A","Tripadvisor","Bal Harbour"
"Atlantikos","Bal Harbour Shops","Bal Harbour, FL 33154","Seafood/Mediterranean","$$$$","3.8/5 Google","185","N/A","Tripadvisor","Bal Harbour"
"The St. Regis Bar (St Regis Bal Harbour)","9703 Collins Ave","Bal Harbour, FL 33154","International/Sushi","$$-$$$","4.5/5 TA / 4.8 Google","80+ TA","N/A","Tripadvisor","Bal Harbour"
"Bh Burger","Bal Harbour Shops","Bal Harbour, FL 33154","American/Steakhouse/Burgers","$$-$$$","4.3/5 TA","89+ TA","N/A","Tripadvisor","Bal Harbour"
"Hillstone Restaurant at Bal Harbour","9700 Collins Ave","Bal Harbour, FL 33154","American","$$$","4.1/5 TA/Google","N/A","N/A","Wanderlog","Bal Harbour"
"Avenue 31 Cafe","9700 Collins Ave 2nd Fl","Bal Harbour, FL 33154","Italian/European Cafe","$$$","4.7/5 TA / 4.8 Google","N/A","N/A","Wanderlog","Bal Harbour"
"Cacio e Pepe Italian Restaurant","Near Bal Harbour Shops","Bal Harbour, FL 33154","Italian","$$","3.5/5 TA / 4.3 Google","N/A","N/A","Wanderlog","Bal Harbour"
"Morla","1052 Kane Concourse","Bay Harbor Islands, FL 33154","Peruvian/Baja fusion","$$$","4.9/5 Google","245","N/A","dishmiami","Bay Harbor Islands"
"Emilio's Trattoria","1088 Kane Concourse","Bay Harbor Islands, FL 33154","Italian","$$$","4.4/5 Google","180","N/A","Web search","Bay Harbor Islands"
"Bay Harbor Bistro & Bakery","1023 Kane Concourse","Bay Harbor Islands, FL 33154","American Breakfast/Brunch","$$","N/A","151+ Yelp","N/A","Yelp/Web search","Bay Harbor Islands"
"Pura Vida Bay Harbor","1001 Kane Concourse","Bay Harbor Islands, FL 33154","Health Food","$$","N/A","N/A","N/A","Web search","Bay Harbor Islands"
"Mamale Cafe & Pizza Bar","1017 Kane Concourse","Bay Harbor Islands, FL 33154","Kosher Pizza/Cafe","$$","4.8/5 Google","85","N/A","Web search","Bay Harbor Islands"
"Open Kitchen By Pure Simple Cooking","Kane Concourse","Bay Harbor Islands, FL 33154","Health Food","$$","N/A","N/A","N/A","Web search","Bay Harbor Islands"
"La Cabrera Sunny Isles","17100 Collins Ave","Sunny Isles Beach, FL 33160","Argentine Steakhouse","$$$$","N/A","126+ Yelp","N/A","Yelp/Web search","Sunny Isles Beach"
"Chayhana Oasis","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Uzbek","$$$","4.4/5 Google","449","N/A","Web search","Sunny Isles Beach"
"Baires Grill - Sunny Isles","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Argentine","$$$","4.3/5 Google","719","N/A","Web search","Sunny Isles Beach"
"Old Lisbon (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Portuguese","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Mykonos Kitchen & Bar","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Greek/Japanese fusion","$$$","4.2/5 Google","357","N/A","Web search","Sunny Isles Beach"
"Reunion Ktchn Bar (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","American/Eclectic","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Beach House Bar and Grill","Sunny Isles Beach","Sunny Isles Beach, FL 33160","American/Seafood","$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Gaby by Call Me Gaby (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Italian","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Avra Estiatorio Miami (Acqualina)","17875 Collins Ave (Estates at Acqualina)","Sunny Isles Beach, FL 33160","Greek","$$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Timo Restaurant & Bar","17624 Collins Ave","Sunny Isles Beach, FL 33160","Italian/Mediterranean","$$$","4.5/5 Google","563","N/A","Web search","Sunny Isles Beach"
"Il Mulino New York - Sunny Isles Beach","17875 Collins Ave (Acqualina Resort)","Sunny Isles Beach, FL 33160","Italian","$$$$","4.3/5 Google","692","N/A","Forbes Travel Guide/Web search","Sunny Isles Beach"
"Gili's Beach Club","18001 Collins Ave (Trump Intl Beach Resort)","Sunny Isles Beach, FL 33160","Seafood/Sushi","$$$","4.1/5 Google","62","N/A","OpenTable/Trump Miami","Sunny Isles Beach"
"Rose Cafe & Restaurant","Sunny Isles Beach","Sunny Isles Beach, FL 33160","French/Healthy","$$","4.7/5 Google","294","N/A","Web search","Sunny Isles Beach"
"Azzurro (Trump Intl)","18001 Collins Ave","Sunny Isles Beach, FL 33160","Italian","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"BALEENkitchen (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Eclectic/International","$$$","4.2/5 Google","280","N/A","Web search","Sunny Isles Beach"
"Fam Fre (Family Fresh Cafe)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Brasserie","$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Ke-uH (Acqualina Resort)","17875 Collins Ave","Sunny Isles Beach, FL 33160","Japanese Fusion","$$$$","4.3/5 Google","185","N/A","Web search","Sunny Isles Beach"
"Costa Grill (Acqualina Resort)","17875 Collins Ave","Sunny Isles Beach, FL 33160","Beachfront/Mediterranean","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Saka Mori (Trump Intl)","18001 Collins Ave","Sunny Isles Beach, FL 33160","Japanese Fusion","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Juniper On The Water (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Seafood","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Cut 38","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Steakhouse","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Sunkissed","801 Brickell Bay Dr","Miami, FL 33131","Latin/Bar","$$$$","8.4/10 Infatuation","N/A","N/A","The Infatuation","Brickell"
"The River Oyster Bar","33 SE 7th St","Miami, FL 33130","Seafood","$$-$$$","4.3/5 Tripadvisor","637+ reviews","N/A","Tripadvisor/The Infatuation","Downtown Miami"
"Claudie","1101 Brickell Ave","Miami, FL 33131","French/Mediterranean","$$$$","4.0/5 Google","502","N/A","The Infatuation/Eater Miami","Brickell"
"Naoe","661 Brickell Key Dr","Miami, FL 33131","Japanese Omakase","$$$$","4.7/5 Google","234","N/A","Tripadvisor/The Infatuation","Brickell"
"Momi Market","1036 S Miami Ave","Miami, FL 33130","Japanese","$$$$","4.7/5 Google","212","N/A","The Infatuation","Downtown Miami"
"LPM Restaurant & Bar","1300 Brickell Bay Dr","Miami, FL 33131","French/Mediterranean","$$$$","N/A","N/A","N/A","The Infatuation/Time Out","Brickell"
"Oriental Bakery & Grill","1760 SW 3rd Ave","Miami, FL 33129","Middle Eastern","$$","N/A","N/A","N/A","The Infatuation","Brickell"
"SEIA","830 Brickell Plaza","Miami, FL 33131","Italian","$$$$","N/A","N/A","N/A","The Infatuation/Haute Living","Brickell"
"Sushi Club","169 SW 7th St","Miami, FL 33130","Sushi","$$","N/A","N/A","N/A","The Infatuation","Downtown Miami"
"Omakai Hand Roll Bar (Brickell)","186 SE 12th Terrace","Miami, FL 33133","Sushi","$$","N/A","N/A","N/A","The Infatuation","Coconut Grove"
"Motek Brickell","701 S Miami Ave","Miami, FL 33130","Mediterranean/Israeli","$$","4.9/5 Google","133","N/A","The Infatuation","Downtown Miami"
"The Henry Miami","701 S Miami Ave Unit 131B","Miami, FL 33131","American","$$","N/A","N/A","N/A","The Infatuation/MiamiCurated","Brickell"
"Felice Brickell","1450 Brickell Ave","Miami, FL 33131","Italian","$$$","4.6/5 Google","163","N/A","The Infatuation/MiamiCurated","Brickell"
"Kush Brickell","650 S Miami Ave","Miami, FL 33130","American/Bar","$$","N/A","N/A","N/A","The Infatuation","Downtown Miami"
"Tap 42 Brickell","1250 S Miami Ave","Miami, FL 33130","American/Brazilian","$$","N/A","N/A","N/A","The Infatuation","Downtown Miami"
"Paperfish Sushi (Brickell)","N/A","Miami, FL","Japanese/Peruvian","$$-$$$","4.5/5 Google","755","N/A","Tripadvisor","Brickell"
"Salty Flame","N/A","Miami, FL","Asian-American Steakhouse","$$$","4.4/5 Google","366","N/A","MiamiCurated","Brickell"
"Amazonico Miami","800 Brickell Ave","Miami, FL 33131","Latin/Asian Fusion","$$$$","2.8/5 Tripadvisor","N/A","N/A","MiamiCurated/Tripadvisor","Brickell"
"Elcielo Miami","31 SE 5th St","Miami, FL 33131","Colombian (Michelin)","$$$$","4.3/5 Google","438","N/A","Miami New Times/MiamiCurated","Brickell"
"Truluck's Ocean's Finest Seafood And Crab","N/A","Miami, FL","Seafood/Steakhouse","$$$$","4.5/5 Google","997","N/A","Tripadvisor","Brickell"
"Osaka Miami","N/A","Miami, FL","Japanese/Peruvian Nikkei","$$$$","4.3/5 Google","447","N/A","MiamiCurated","Brickell"
"Gekko","8 SE 8th St","Miami, FL 33131","Japanese Steakhouse","$$$$","3.9/5 Google","477","(305) 423-8884","MiamiCurated/Tripadvisor","Brickell"
"Hutong Miami","N/A","Miami, FL","Chinese","$$$$","4.0/5 Google","629","N/A","MiamiCurated","Brickell"
"Sexy Fish Miami","1001 S Miami Ave","Miami, FL 33130","Japanese/Seafood","$$$$","4.0/5 Google","1486","(305) 889-7888","MiamiCurated/Tripadvisor","Downtown Miami"
"Novikov Miami","N/A","Miami, FL","Japanese/Chinese Fusion","$$$$","4.3/5 Google","739","N/A","MiamiCurated","Brickell"
"Delilah Miami","N/A (Brickell Key)","Miami, FL","Supper Club/Mediterranean-Asian","$$$$","3.8/5 Google","494","N/A","MiamiCurated","Brickell"
"Lafayette Miami","N/A","Miami, FL","European Steakhouse","$$$$","N/A","N/A","N/A","MiamiCurated","Downtown Miami"
"Marion Miami","N/A","Miami, FL","Mediterranean-Asian","$$$$","N/A","N/A","N/A","MiamiCurated","Downtown Miami"
"The Mexican Miami","N/A (Brickell Key)","Miami, FL","Modern Mexican","$$$","4.8/5 Google","108","N/A","MiamiCurated","Brickell"
"Kaori Miami","871 S Miami Ave","Miami, FL 33130","Asian Fusion","$$$$","4.5/5 Google","292","N/A","Miami New Times/Tripadvisor","Downtown Miami"
"Dirty French Miami","N/A (Brickell)","Miami, FL","American/French","$$$$","3.9/5 Google","428","N/A","Michelin Guide search","Brickell"
"Marabu Restaurant","N/A (near Brickell City Centre)","Miami, FL","Latin/Bar","$$-$$$","4.8/5 Google","2307","N/A","Tripadvisor","Brickell"
"Cafe Americano","N/A (Brickell)","Miami, FL","American/Latin","$$-$$$","4.6/5 Google","615","N/A","Tripadvisor","Brickell"
"CRAFT Brickell","N/A","Miami, FL","American/Pizza","$$-$$$","4.9/5 Google","110","N/A","Tripadvisor","Brickell"
"Area 31","N/A (Kimpton EPIC Hotel)","Miami, FL","American/Seafood","$$$$","4.0/5 Google","756","N/A","Tripadvisor","Downtown Miami"
"The Capital Grille (Brickell)","N/A","Miami, FL","Steakhouse","$$$$","4.5/5 Google","786","N/A","Tripadvisor","Brickell"
"ADRIFT Mare","N/A (Brickell)","Miami, FL","Steakhouse/Bar","$$$$","4.1/5 Google","207","N/A","Tripadvisor","Brickell"
"B Bistro + Bakery","N/A (Brickell)","Miami, FL","Cafe/Bistro","$$-$$$","4.5/5 Tripadvisor","253+ reviews","N/A","Tripadvisor","Brickell"
"Toscana Divino","N/A (Brickell)","Miami, FL","Italian/Steakhouse","$$-$$$","3.9/5 Google","324","N/A","Tripadvisor","Brickell"
