Name,Latitude,Longitude,Address,City,Region,Cuisine,Price,Rating,Reviews
Tropezon,25.786803,-80.133195,512 Espanola Way,"Miami Beach, FL 33139",Miami Beach,Spanish,$$$,4.3/5 Google,258
Kalamata Mediterranean Cuisine,25.77411,-80.133912,423 Washington Ave,"Miami Beach, FL 33139",Miami Beach,Turkish/Mediterranean,$$,4.8/5 Google,608
Abbale Modern Mediterranean Kitchen,25.768838,-80.136617,864 Commerce St,"Miami Beach, FL 33139",Miami Beach,Israeli/Mediterranean,$$$,4.6/5 Google,1243
Havana 1957 Cuban Cuisine (Espanola Way),25.787039,-80.131979,405 Espanola Way,"Miami Beach, FL 33139",Miami Beach,Cuban,$$,4.5/5 Google,8745
Orilla Bar & Grill,25.774191,-80.135248,426 Euclid Ave,"Miami Beach, FL 33139",Miami Beach,Argentinian,$$$,4.6/5 Google,612
Las Olas Cafe,25.775732,-80.134831,644 6th St,"Miami Beach, FL 33139",Miami Beach,Cuban,$$,4.3/5 Google,2607
Under The Mango Tree,25.774824,-80.135263,737 5th St,"Miami Beach, FL 33139",Miami Beach,Vegetarian,$$,4.6/5 Google,526
Paya Miami,25.792207,-80.14183,1209 17th St,"Miami Beach, FL 33139",Miami Beach,Caribbean,$$$,5/5 Timeout,N/A
A La Folie,25.786759,-80.13327,516 Espanola Way,"Miami Beach, FL 33139",Miami Beach,French Cafe/Bistro,$$,4.4/5 Google,443
Mimi Chinese,25.788692,-80.140781,1575 Alton Rd Unit 2,"Miami Beach, FL 33139",Miami Beach,Chinese,$$$,4/5 Timeout,N/A
Mango's South Beach,25.779398,-80.131099,900 Ocean Dr,"Miami Beach, FL 33139",Miami Beach,Latin/Tropical,$$$,N/A,N/A
J'Adore Miami Beach,25.781804,-80.130334,Ocean Dr,"Miami Beach, FL 33139",Miami Beach,Coastal Latin,$$$,4.4/5 Google,89
News Cafe,25.778132,-80.131403,800 Ocean Dr,"Miami Beach, FL 33139",Miami Beach,American Cafe,$$,4.8/5 Google,2322
Azabu Miami Beach,25.781804,-80.130334,Ocean Dr area,"Miami Beach, FL 33139",Miami Beach,Japanese,$$$$,4.7/5 Google,862
The Front Porch Cafe,25.781804,-80.130334,Ocean Dr,"Miami Beach, FL 33139",Miami Beach,American Breakfast,$$,4.2/5 Google,839
A Fish Called Avalon,25.781804,-80.130334,Ocean Dr,"Miami Beach, FL 33139",Miami Beach,Seafood,$$$,4.6/5 Google,1540
Alma Cubana,25.781804,-80.130334,Ocean Dr,"Miami Beach, FL 33139",Miami Beach,Cuban,$$,4.9/5 Google,907
Serena,25.781804,-80.130334,Ocean Dr,"Miami Beach, FL 33139",Miami Beach,Italian,$$$,N/A,N/A
Naked Taco,25.781804,-80.130334,Ocean Dr,"Miami Beach, FL 33139",Miami Beach,Mexican,$$,4.6/5 Google,734
Osteria da Fortunata,25.796447,-80.131929,Lincoln Rd,"Miami Beach, FL 33139",Miami Beach,Italian,$$$,4.6/5 Google,615
Spris,25.796447,-80.131929,Lincoln Rd,"Miami Beach, FL 33139",Miami Beach,Pizza/Italian,$$,4.8/5 Google,526
Yardbird Southern Table & Bar,25.789106,-80.140268,1600 Lenox Ave,"Miami Beach, FL 33139",Miami Beach,Southern American,$$$,4.6/5 Google,6916
Juvia,25.79084,-80.14024,1111 Lincoln Rd,"Miami Beach, FL 33139",Miami Beach,Asian-Latin-French,$$$$,4.1/5 Google,2125
YUCA,25.796447,-80.131929,Lincoln Rd,"Miami Beach, FL 33139",Miami Beach,Cuban-American,$$$,N/A,N/A
SuViche,25.796447,-80.131929,Lincoln Rd,"Miami Beach, FL 33139",Miami Beach,Peruvian/Sushi,$$,N/A,N/A
Issabellas,25.796447,-80.131929,Lincoln Rd,"Miami Beach, FL 33139",Miami Beach,Mediterranean,$$,N/A,N/A
Catch Miami Beach,25.767961,-80.133567,200 South Pointe Dr,"Miami Beach, FL 33139",Miami Beach,Seafood,$$$$,4.2/5 Google,469
INTIMO,25.769695,-80.136785,840 1st St,"Miami Beach, FL 33139",Miami Beach,Peruvian,$$$,4.9/5 Google,723
Kissaki,25.768132,-80.134739,500 South Pointe Dr Ste 160,"Miami Beach, FL 33139",Miami Beach,Japanese,$$$$,4.4/5 Google,86
The Lobster Shack,25.795587,-80.126961,Multiple SoFi locations,"Miami Beach, FL 33139",Miami Beach,Seafood,$$,4.4/5 Google,1681
PLANTA South Beach,25.76884,-80.136435,850 Commerce St,"Miami Beach, FL 33139",Miami Beach,Plant-based/Vegan,$$$,4.3/5 Google,541
RED South Beach,25.768535,-80.136554,801 South Pointe Dr,"Miami Beach, FL 33139",Miami Beach,Steakhouse,$$$$,4.0/5 Google,521
Fogo de Chao,25.769957,-80.1351,South of Fifth,"Miami Beach, FL 33139",Miami Beach,Brazilian Steakhouse,$$$$,N/A,N/A
Smith & Wollensky,25.768732,-80.130923,1 Washington Ave,"Miami Beach, FL 33139",Miami Beach,Steakhouse,$$$$,4.4/5 Google,7064
French 27,25.769957,-80.1351,South of Fifth,"Miami Beach, FL 33139",Miami Beach,French,$$$$,N/A,N/A
HaSalon,25.769957,-80.1351,South of Fifth area,"Miami Beach, FL 33139",Miami Beach,Israeli,$$$$,N/A,N/A
Lilikoi Organic Living,25.769957,-80.1351,South of Fifth,"Miami Beach, FL 33139",Miami Beach,Healthy/Organic,$$,4.2/5 Google,218
Pura Vida South Beach,25.769957,-80.1351,South of Fifth,"Miami Beach, FL 33139",Miami Beach,Healthy,$$,4.1/5 Google,508
Byblos Miami,25.788469,-80.129477,1545 Collins Ave,"Miami Beach, FL 33139",Miami Beach,Mediterranean,$$$,4.5/5 Google,1650
Papi Steak,25.769745,-80.135961,736 1st St,"Miami Beach, FL 33139",Miami Beach,Steakhouse,$$$$,3.9/5 Google,801
Matador Room,25.805345,-80.124175,2901 Collins Ave (Miami Beach EDITION),"Miami Beach, FL 33140",Miami Beach,Modern Latin,$$$$,4.1/5 Google,595
Motek Miami Beach,25.887415,-80.122837,Collins Ave,"Miami Beach, FL 33140",Miami Beach,Israeli/Middle Eastern,$$,4.7/5 Google,569
Hakkasan Miami,25.818293,-80.122171,4441 Collins Ave (Fontainebleau),"Miami Beach, FL 33140",Miami Beach,Cantonese,$$$$,4.2/5 Google,1023
Pikio Taco,25.821478,-80.120809,Hotel Rendale,"Miami Beach, FL 33140",Miami Beach,Mexican,$$,4.4/5 Google,316
Aguasal by Jose Andres,25.821478,-80.120809,Andaz Miami Beach,"Miami Beach, FL 33140",Miami Beach,Mediterranean-Miami,$$$$,N/A,N/A
Cecconi's Miami Beach,25.815954,-80.122041,4385 Collins Ave (Soho Beach House),"Miami Beach, FL 33140",Miami Beach,Italian,$$$,3.9/5 Google,740
Pao by Paul Qui,25.807324,-80.123463,3201 Collins Ave (Faena Hotel),"Miami Beach, FL 33140",Miami Beach,Modern Asian,$$$$,4.3/5 Google,361
Los Fuegos by Francis Mallmann,25.807324,-80.123463,3201 Collins Ave (Faena Hotel),"Miami Beach, FL 33140",Miami Beach,Argentine/Grill,$$$$,4.3/5 Google,1098
Mirabella,25.821478,-80.120809,Fontainebleau,"Miami Beach, FL 33140",Miami Beach,Coastal Italian,$$$$,N/A,N/A
Mi Colombia,25.855787,-80.125182,702 71st St,"Miami Beach, FL 33141",Miami Beach,Colombian,$$,4.6/5 Google,495
Marc's Artisanal Pizzeria,25.855657,-80.129504,966 Normandy Dr,"Miami Beach, FL 33141",Miami Beach,Pizza,$$,8.5/10 Infatuation,N/A
Silverlake Bistro,25.85471,-80.13182,1211 71st St,"Miami Beach, FL 33141",Miami Beach,American/French,$$,8.3/10 Infatuation / 4.6 Google,N/A
Ezio's,25.856812,-80.123719,580 72nd St,"Miami Beach, FL 33141",Miami Beach,Steaks,$$$,7.6/10 Infatuation,N/A
Locura Marina Peruvian Restaurant,25.856566,-80.12076,7118 Collins Ave,"Miami Beach, FL 33141",Miami Beach,Peruvian,$$,8.3/10 Infatuation,N/A
The Wrapper,25.855649,-80.120721,6974 Collins Ave,"Miami Beach, FL 33141",Miami Beach,Lebanese,$$,5.0/5 Google,482
Sushi Bichi,25.859128,-80.120129,7330 Ocean Terr,"Miami Beach, FL 33141",Miami Beach,Sushi,$$,4.8/5 Google,532
Katana,25.85548,-80.128282,920 71st St,"Miami Beach, FL 33141",Miami Beach,Japanese,$$,7.6/10 Infatuation,N/A
Banchero Miami,25.855551,-80.120151,6995 Collins Ave,"Miami Beach, FL 33141",Miami Beach,Argentinian,$$,4.5/5 Google,502
7tyone Restaurant & Coffee,25.85551,-80.130287,1130 Normandy Dr,"Miami Beach, FL 33141",Miami Beach,Venezuelan,$$,7.9/10 Infatuation,N/A
Blozzom Pizza,25.859351,-80.12069,7341 Collins Ave,"Miami Beach, FL 33141",Miami Beach,Pizza,$$,7.7/10 Infatuation,N/A
Collins Pizza,25.858722,-80.121075,7308 Collins Ave,"Miami Beach, FL 33141",Miami Beach,Pizza,$$,4.5/5 Google,262
Little Brazil,25.855809,-80.120595,6984 Collins Ave,"Miami Beach, FL 33141",Miami Beach,Brazilian,$$,7.9/10 Infatuation,N/A
Cafe Prima Pasta,25.855918,-80.122748,414 71st St,"Miami Beach, FL 33141",Miami Beach,Italian,$$$,4.9/5 Google,942
Sawaddee Thai & Sushi Restaurant,25.854942,-80.127761,6968 Bay Dr,"Miami Beach, FL 33141",Miami Beach,Thai/Sushi,$$,7.7/10 Infatuation,N/A
Sazon Cubano,25.858626,-80.12057,7305 Collins Ave,"Miami Beach, FL 33141",Miami Beach,Cuban,$$,4.5/5 Google,4675
Rouge,25.858711,-80.121092,7310 Collins Ave,"Miami Beach, FL 33141",Miami Beach,French-Moroccan,$$$,N/A,N/A
Las Vacas Gordas,25.855998,-80.128931,933 Normandy Dr,"Miami Beach, FL 33141",Miami Beach,Steakhouse/Argentine,$$$,N/A,N/A
Taquiza Tacos,25.860579,-80.120169,7450 Ocean Terr,"Miami Beach, FL 33141",Miami Beach,Mexican,$$,4.3 Google / 4.5 TA,N/A
Norman's Tavern,25.85182,-80.120555,6770 Collins Ave,"Miami Beach, FL 33141",Miami Beach,American/Sports Bar,$$,4.6 Google / 4.5 TA,N/A
Hoshi & Sushi Asian Cuisine,25.832826,-80.120978,5401 Collins Ave Ste CU5,"Miami Beach, FL 33140",Miami Beach,Japanese/Asian,$$,4.6 Google / 4.5 TA,N/A
The Surf Club Restaurant,25.877516,-80.121519,9011 Collins Ave (Four Seasons),"Surfside, FL 33154",Surfside,Continental/Fine Dining,$$$$,4.6/5 Google,N/A
Lido Restaurant,25.877516,-80.121519,9011 Collins Ave (Four Seasons Surf Club),"Surfside, FL 33154",Surfside,Coastal Italian,$$$$,4.1/5 Google,416
Winston's On The Beach,25.878144,-80.131669,Four Seasons Surf Club,"Surfside, FL 33154",Surfside,Casual Seafood,$$$,N/A,N/A
Cafe Ragazzi,25.878144,-80.131669,Surfside,"Surfside, FL 33154",Surfside,Italian-American,$$,4.2/5 Google,328
Neya,25.8851,-80.123284,9491 Harding Ave,"Surfside, FL 33154",Surfside,Modern Israeli,$$,4.9/5 Google,N/A
Flanigan's (Surfside),25.878144,-80.131669,Surfside,"Surfside, FL 33154",Surfside,Steaks/Seafood,$$,4.3/5 Google,612
Fialkoff's Kosher Pizza,25.878144,-80.131669,Surfside,"Surfside, FL 33154",Surfside,Kosher Pizza,$$,3.8/5 Google,116
Hikari,25.878144,-80.131669,Surfside,"Surfside, FL 33154",Surfside,Sushi/Kosher,$$$,4.3/5 Google,96
Cine Citta Caffe,25.88602,-80.123604,9544 Harding Ave,"Surfside, FL 33154",Surfside,Italian/Kosher Dairy,$$,3.7/5 Google,N/A
Carpaccio,25.888243,-80.124916,9700 Collins Ave,"Bal Harbour, FL 33154",Bal Harbour,Italian,$$-$$$,4.3/5 TA / 4.4 Google,"2,711+ TA"
Makoto,25.888243,-80.124916,9700 Collins Ave,"Bal Harbour, FL 33154",Bal Harbour,Japanese/Sushi,$$$$,4.4/5 TA / 4.5 Google,"1,132+ TA"
Artisan Beach House,25.898904,-80.123419,10295 Collins Ave (Ritz-Carlton),"Bal Harbour, FL 33154",Bal Harbour,Seafood/Global,$$-$$$,3.9/5 TA / 4.4 Google,67+ TA
The Terrace Restaurant,25.89042,-80.12288,Bal Harbour Shops,"Bal Harbour, FL 33154",Bal Harbour,Italian/American,$$-$$$,4.8/5 TA,81+ TA
Le Zoo,25.89042,-80.12288,Bal Harbour Shops,"Bal Harbour, FL 33154",Bal Harbour,French,$$-$$$,4.1/5 TA,435+ TA
Aba Miami (Bal Harbour),25.89042,-80.12288,Bal Harbour Shops,"Bal Harbour, FL 33154",Bal Harbour,Mediterranean,$$$$,4.0/5 TA,34+ TA
Atlantikos,25.89042,-80.12288,Bal Harbour Shops,"Bal Harbour, FL 33154",Bal Harbour,Seafood/Mediterranean,$$$$,3.8/5 Google,185
The St. Regis Bar (St Regis Bal Harbour),25.888991,-80.122768,9703 Collins Ave,"Bal Harbour, FL 33154",Bal Harbour,International/Sushi,$$-$$$,4.5/5 TA / 4.8 Google,80+ TA
Bh Burger,25.89042,-80.12288,Bal Harbour Shops,"Bal Harbour, FL 33154",Bal Harbour,American/Steakhouse/Burgers,$$-$$$,4.3/5 TA,89+ TA
Hillstone Restaurant at Bal Harbour,25.888243,-80.124916,9700 Collins Ave,"Bal Harbour, FL 33154",Bal Harbour,American,$$$,4.1/5 TA/Google,N/A
Avenue 31 Cafe,25.888243,-80.124916,9700 Collins Ave 2nd Fl,"Bal Harbour, FL 33154",Bal Harbour,Italian/European Cafe,$$$,4.7/5 TA / 4.8 Google,N/A
Cacio e Pepe Italian Restaurant,25.89042,-80.12288,Near Bal Harbour Shops,"Bal Harbour, FL 33154",Bal Harbour,Italian,$$,3.5/5 TA / 4.3 Google,N/A
Morla,25.88653,-80.130497,1052 Kane Concourse,"Bay Harbor Islands, FL 33154",Bay Harbor Islands,Peruvian/Baja fusion,$$$,4.9/5 Google,245
Emilio's Trattoria,25.886661,-80.130307,1088 Kane Concourse,"Bay Harbor Islands, FL 33154",Bay Harbor Islands,Italian,$$$,4.4/5 Google,180
Bay Harbor Bistro & Bakery,25.886802,-80.129658,1023 Kane Concourse,"Bay Harbor Islands, FL 33154",Bay Harbor Islands,American Breakfast/Brunch,$$,N/A,151+ Yelp
Pura Vida Bay Harbor,25.88686,-80.129307,1001 Kane Concourse,"Bay Harbor Islands, FL 33154",Bay Harbor Islands,Health Food,$$,N/A,N/A
Mamale Cafe & Pizza Bar,25.887012,-80.129803,1017 Kane Concourse,"Bay Harbor Islands, FL 33154",Bay Harbor Islands,Kosher Pizza/Cafe,$$,4.8/5 Google,85
Open Kitchen By Pure Simple Cooking,25.886747,-80.132061,Kane Concourse,"Bay Harbor Islands, FL 33154",Bay Harbor Islands,Health Food,$$,N/A,N/A
La Cabrera Sunny Isles,25.934543,-80.122552,17100 Collins Ave,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Argentine Steakhouse,$$$$,N/A,126+ Yelp
Chayhana Oasis,25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Uzbek,$$$,4.4/5 Google,449
Baires Grill - Sunny Isles,25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Argentine,$$$,4.3/5 Google,719
Old Lisbon (Sunny Isles),25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Portuguese,$$$,N/A,N/A
Mykonos Kitchen & Bar,25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Greek/Japanese fusion,$$$,4.2/5 Google,357
Reunion Ktchn Bar (Sunny Isles),25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,American/Eclectic,$$$,N/A,N/A
Beach House Bar and Grill,25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,American/Seafood,$$,N/A,N/A
Gaby by Call Me Gaby (Sunny Isles),25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Italian,$$$,N/A,N/A
Avra Estiatorio Miami (Acqualina),25.940845,-80.12048,17875 Collins Ave (Estates at Acqualina),"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Greek,$$$$,N/A,N/A
Timo Restaurant & Bar,25.939336,-80.12151,17624 Collins Ave,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Italian/Mediterranean,$$$,4.5/5 Google,563
Il Mulino New York - Sunny Isles Beach,25.940845,-80.12048,17875 Collins Ave (Acqualina Resort),"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Italian,$$$$,4.3/5 Google,692
Gili's Beach Club,25.943188,-80.12064,18001 Collins Ave (Trump Intl Beach Resort),"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Seafood/Sushi,$$$,4.1/5 Google,62
Rose Cafe & Restaurant,25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,French/Healthy,$$,4.7/5 Google,294
Azzurro (Trump Intl),25.943188,-80.12064,18001 Collins Ave,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Italian,$$$,N/A,N/A
BALEENkitchen (Sunny Isles),25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Eclectic/International,$$$,4.2/5 Google,280
Fam Fre (Family Fresh Cafe),25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Brasserie,$$,N/A,N/A
Ke-uH (Acqualina Resort),25.940845,-80.12048,17875 Collins Ave,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Japanese Fusion,$$$$,4.3/5 Google,185
Costa Grill (Acqualina Resort),25.940845,-80.12048,17875 Collins Ave,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Beachfront/Mediterranean,$$$,N/A,N/A
Saka Mori (Trump Intl),25.943188,-80.12064,18001 Collins Ave,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Japanese Fusion,$$$,N/A,N/A
Juniper On The Water (Sunny Isles),25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Seafood,$$$,N/A,N/A
Cut 38,25.943262,-80.12126,Sunny Isles Beach,"Sunny Isles Beach, FL 33160",Sunny Isles Beach,Steakhouse,$$$,N/A,N/A
Sunkissed,25.765268,-80.188782,801 Brickell Bay Dr,"Miami, FL 33131",Brickell,Latin/Bar,$$$$,8.4/10 Infatuation,N/A
The River Oyster Bar,25.76736,-80.193979,33 SE 7th St,"Miami, FL 33130",Downtown Miami,Seafood,$$-$$$,4.3/5 Tripadvisor,637+ reviews
Claudie,25.763172,-80.191057,1101 Brickell Ave,"Miami, FL 33131",Brickell,French/Mediterranean,$$$$,4.0/5 Google,502
Naoe,25.76782,-80.185794,661 Brickell Key Dr,"Miami, FL 33131",Brickell,Japanese Omakase,$$$$,4.7/5 Google,234
Momi Market,25.763822,-80.193364,1036 S Miami Ave,"Miami, FL 33130",Downtown Miami,Japanese,$$$$,4.7/5 Google,212
LPM Restaurant & Bar,25.760404,-80.190172,1300 Brickell Bay Dr,"Miami, FL 33131",Brickell,French/Mediterranean,$$$$,N/A,N/A
Oriental Bakery & Grill,25.760905,-80.200739,1760 SW 3rd Ave,"Miami, FL 33129",Brickell,Middle Eastern,$$,N/A,N/A
SEIA,25.76611,-80.192385,830 Brickell Plaza,"Miami, FL 33131",Brickell,Italian,$$$$,N/A,N/A
Sushi Club,25.76747,-80.1964,169 SW 7th St,"Miami, FL 33130",Downtown Miami,Sushi,$$,N/A,N/A
Omakai Hand Roll Bar (Brickell),25.761243,-80.190415,186 SE 12th Terrace,"Miami, FL 33133",Coconut Grove,Sushi,$$,N/A,N/A
Motek Brickell,25.767611,-80.193171,701 S Miami Ave,"Miami, FL 33130",Downtown Miami,Mediterranean/Israeli,$$,4.9/5 Google,133
The Henry Miami,25.767611,-80.193171,701 S Miami Ave Unit 131B,"Miami, FL 33131",Brickell,American,$$,N/A,N/A
Felice Brickell,25.758748,-80.193194,1450 Brickell Ave,"Miami, FL 33131",Brickell,Italian,$$$,4.6/5 Google,163
Kush Brickell,25.767482,-80.193458,650 S Miami Ave,"Miami, FL 33130",Downtown Miami,American/Bar,$$,N/A,N/A
Tap 42 Brickell,25.762237,-80.19349,1250 S Miami Ave,"Miami, FL 33130",Downtown Miami,American/Brazilian,$$,N/A,N/A
Paperfish Sushi (Brickell),26.031846,-80.165681,N/A,"Miami, FL",Brickell,Japanese/Peruvian,$$-$$$,4.5/5 Google,755
Salty Flame,26.031846,-80.165681,N/A,"Miami, FL",Brickell,Asian-American Steakhouse,$$$,4.4/5 Google,366
Amazonico Miami,25.765782,-80.19128,800 Brickell Ave,"Miami, FL 33131",Brickell,Latin/Asian Fusion,$$$$,2.8/5 Tripadvisor,N/A
Elcielo Miami,25.769654,-80.19182,31 SE 5th St,"Miami, FL 33131",Brickell,Colombian (Michelin),$$$$,4.3/5 Google,438
Truluck's Ocean's Finest Seafood And Crab,26.031846,-80.165681,N/A,"Miami, FL",Brickell,Seafood/Steakhouse,$$$$,4.5/5 Google,997
Osaka Miami,26.031846,-80.165681,N/A,"Miami, FL",Brickell,Japanese/Peruvian Nikkei,$$$$,4.3/5 Google,447
Gekko,25.766276,-80.192794,8 SE 8th St,"Miami, FL 33131",Brickell,Japanese Steakhouse,$$$$,3.9/5 Google,477
Hutong Miami,26.031846,-80.165681,N/A,"Miami, FL",Brickell,Chinese,$$$$,4.0/5 Google,629
Sexy Fish Miami,25.76404,-80.192867,1001 S Miami Ave,"Miami, FL 33130",Downtown Miami,Japanese/Seafood,$$$$,4.0/5 Google,1486
Novikov Miami,26.031846,-80.165681,N/A,"Miami, FL",Brickell,Japanese/Chinese Fusion,$$$$,4.3/5 Google,739
Delilah Miami,25.76498,-80.18484,N/A (Brickell Key),"Miami, FL",Brickell,Supper Club/Mediterranean-Asian,$$$$,3.8/5 Google,494
Lafayette Miami,26.031846,-80.165681,N/A,"Miami, FL",Downtown Miami,European Steakhouse,$$$$,N/A,N/A
Marion Miami,26.031846,-80.165681,N/A,"Miami, FL",Downtown Miami,Mediterranean-Asian,$$$$,N/A,N/A
The Mexican Miami,25.76498,-80.18484,N/A (Brickell Key),"Miami, FL",Brickell,Modern Mexican,$$$,4.8/5 Google,108
Kaori Miami,25.76574,-80.193155,871 S Miami Ave,"Miami, FL 33130",Downtown Miami,Asian Fusion,$$$$,4.5/5 Google,292
Dirty French Miami,25.76422,-80.19129,N/A (Brickell),"Miami, FL",Brickell,American/French,$$$$,3.9/5 Google,428
Marabu Restaurant,25.773357,-80.1919,N/A (near Brickell City Centre),"Miami, FL",Brickell,Latin/Bar,$$-$$$,4.8/5 Google,2307
Cafe Americano,25.76422,-80.19129,N/A (Brickell),"Miami, FL",Brickell,American/Latin,$$-$$$,4.6/5 Google,615
CRAFT Brickell,26.031846,-80.165681,N/A,"Miami, FL",Brickell,American/Pizza,$$-$$$,4.9/5 Google,110
Area 31,25.773357,-80.1919,N/A (Kimpton EPIC Hotel),"Miami, FL",Downtown Miami,American/Seafood,$$$$,4.0/5 Google,756
The Capital Grille (Brickell),26.031846,-80.165681,N/A,"Miami, FL",Brickell,Steakhouse,$$$$,4.5/5 Google,786
ADRIFT Mare,25.76422,-80.19129,N/A (Brickell),"Miami, FL",Brickell,Steakhouse/Bar,$$$$,4.1/5 Google,207
B Bistro + Bakery,25.76422,-80.19129,N/A (Brickell),"Miami, FL",Brickell,Cafe/Bistro,$$-$$$,4.5/5 Tripadvisor,253+ reviews
Toscana Divino,25.76422,-80.19129,N/A (Brickell),"Miami, FL",Brickell,Italian/Steakhouse,$$-$$$,3.9/5 Google,324
El Sitio Coffee Bar,25.76422,-80.19129,N/A (Brickell),"Miami, FL",Brickell,Latin/Venezuelan,$$-$$$,4.9/5 Google,974
Quinto Miami,25.76422,-80.19129,N/A (Brickell),"Miami, FL",Brickell,Steakhouse/Latin,$$$$,4.6/5 Google,785
Barsecco,25.76422,-80.19129,N/A (Brickell/Midtown),"Miami, FL",Midtown,American/Bar,$$-$$$,4.2/5 Google,874
Vero Italian Restaurant,25.76422,-80.19129,N/A (Brickell),"Miami, FL",Brickell,Italian/Pizza,$$-$$$,3.9/5 Google,327
Dolores But You Can Call Me Lolita,25.773447,-80.18808,N/A (Brickell/Downtown),"Miami, FL",Brickell,Bar/International,$$-$$$,4.8/5 Google,2414
